Activity Period;Operating Airline;Operating Airline IATA Code;Published Airline;Published Airline IATA Code;GEO Summary;GEO Region;Landing Aircraft Type;Aircraft Body Type;Aircraft Manufacturer;Aircraft Model;Aircraft Version;Landing Count;Total Landed Weight
200507;ABX Air;GB;ABX Air;GB;Domestic;US;Freighter;Narrow Body;McDonnell Douglas;DC-9;30;40;4,066,000
200507;ABX Air;GB;ABX Air;GB;Domestic;US;Freighter;Narrow Body;McDonnell Douglas;DC-9;41;1;102,000
200507;ATA Airlines;TZ;ATA Airlines;TZ;Domestic;US;Passenger;Narrow Body;Boeing;757;200;2;396,000
200507;ATA Airlines;TZ;ATA Airlines;TZ;Domestic;US;Passenger;Narrow Body;Boeing;757;300;167;37,408,000
200507;Air Canada;AC;Air Canada;AC;International;Canada;Passenger;Wide Body;Boeing;767;333;1;320,000
200507;Air Canada;AC;Air Canada;AC;International;Canada;Passenger;Narrow Body;Airbus;A319;114;160;21,520,000
200507;Air Canada;AC;Air Canada;AC;International;Canada;Passenger;Narrow Body;Airbus;A320;211;146;20,761,200
200507;Air Canada;AC;Air Canada;AC;International;Canada;Passenger;Narrow Body;Airbus;A321;211;2;343,040
200507;Air China;CA;Air China;CA;International;Asia;Passenger;Wide Body;Boeing;747;400;23;14,490,000
200507;Air France;AF;Air France;AF;International;Europe;Passenger;Wide Body;Boeing;747;400;31;18,855,500
200507;Air New Zealand;NZ;Air New Zealand;NZ;International;Australia / Oceania;Passenger;Wide Body;Boeing;747;400;14;8,820,000
200507;AirTran Airways;FL;AirTran Airways;FL;Domestic;US;Passenger;Narrow Body;Boeing;737;700;62;7,936,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;Boeing;737;400;274;33,154,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;International;Canada;Passenger;Narrow Body;Boeing;737;400;33;3,993,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;International;Mexico;Passenger;Narrow Body;Boeing;737;400;85;10,285,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;Boeing;737;700;34;4,392,800
200507;Alaska Airlines;AS;Alaska Airlines;AS;International;Canada;Passenger;Narrow Body;Boeing;737;700;27;3,488,400
200507;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;Boeing;737;800;1;144,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;International;Canada;Passenger;Narrow Body;Boeing;737;800;1;144,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;Boeing;737;900;4;585,200
200507;Alaska Airlines;AS;Alaska Airlines;AS;International;Mexico;Passenger;Narrow Body;McDonnell Douglas;MD-80;93;7;910,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;Domestic;US;Passenger;Narrow Body;McDonnell Douglas;MD-80;;60;7,800,000
200507;Alaska Airlines;AS;Alaska Airlines;AS;International;Canada;Passenger;Narrow Body;McDonnell Douglas;MD-80;;31;4,030,000
200507;All Nippon Airways;NH;All Nippon Airways;NH;International;Asia;Passenger;Wide Body;Boeing;777;200ER;31;14,260,000
200507;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Narrow Body;Boeing;757;;217;42,966,000
200507;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Wide Body;Boeing;767;200;87;23,490,000
200507;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Wide Body;Boeing;767;300;155;48,050,000
200507;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Narrow Body;McDonnell Douglas;MD-80;83;290;37,700,000
200507;American Airlines;AA;American Airlines;AA;Domestic;US;Passenger;Narrow Body;McDonnell Douglas;MD-80;SP;400;52,000,000
200507;American Eagle Airlines;MQ;American Airlines;AA;Domestic;US;Passenger;Regional Jet;Embraer;ERJ;140;152;6,277,600
200507;Ameriflight;A8;Ameriflight;A8;Domestic;US;Freighter;Regional Jet;LearJet;35A;;1;15,300
200507;Ameriflight;A8;Ameriflight;A8;Domestic;US;Freighter;Turbo Prop;Swearingen;SA-227;AC;22;308,000
200507;Ameriflight;A8;Ameriflight;A8;Domestic;US;Freighter;Turbo Prop;Swearingen;SA-227;AT;8;124,000
200507;Asiana Airlines;OZ;Asiana Airlines;OZ;International;Asia;Freighter;Wide Body;Boeing;747;400;4;2,664,000
200507;Asiana Airlines;OZ;Asiana Airlines;OZ;International;Asia;Passenger;Wide Body;Boeing;777;200ER;17;7,820,000
200507;Astar Air Cargo;ER;Astar Air Cargo;ER;Domestic;US;Freighter;Wide Body;Airbus;A300;;21;6,203,820
200507;Astar Air Cargo;ER;Astar Air Cargo;ER;Domestic;US;Freighter;Wide Body;McDonnell Douglas;DC-8;73;20;5,500,000
200507;Astar Air Cargo;ER;Astar Air Cargo;ER;Domestic;US;Freighter;Turbo Prop;Swearingen;SA-227;L;21;279,720
200507;Atlantic Southeast Airlines;EV;Delta Air Lines;DL;Domestic;US;Passenger;Regional Jet;Bombardier;CRJ;700;23;1,541,000
200507;BelAir Airlines;BBB;BelAir Airlines;BBB;International;Europe;Passenger;Wide Body;Boeing;767;300;4;1,400,000
200507;British Airways;BA;British Airways;BA;International;Europe;Passenger;Wide Body;Boeing;747;400;62;39,060,000
200507;Cargolux Airlines ;CV;Cargolux Airlines ;CV;International;Europe;Freighter;Wide Body;Boeing;747;400;9;5,994,000
200507;Cathay Pacific;CX;Cathay Pacific;CX;International;Asia;Freighter;Wide Body;Boeing;747;400;17;11,322,000
200507;Cathay Pacific;CX;Cathay Pacific;CX;International;Asia;Passenger;Wide Body;Boeing;747;400;31;19,530,000
200507;China Airlines;CI;China Airlines;CI;International;Asia;Passenger;Wide Body;Boeing;747;400;39;24,570,000
200507;China Airlines;CI;China Airlines;CI;International;Asia;Freighter;Wide Body;Boeing;747;;27;17,982,000
200507;China Cargo Airlines;CK;China Cargo Airlines;CK;International;Asia;Freighter;Wide Body;McDonnell Douglas;MD-11;;13;6,129,500
200507;Delta Air Lines;DL;Delta Air Lines;DL;Domestic;US;Passenger;Narrow Body;Boeing;737;800;190;27,360,000
