Close,Company,Date,High,Low,Number of Records,Open,Volume
133.9,Amazon,1/4/2010,136.61,133.14,1,136.25,7600543
30.57,Apple,1/4/2010,30.64,30.34,1,30.49,123432050
53.64,Biogen Idec,1/4/2010,53.97,53.6,1,53.97,2469662
134.69,Amazon,1/5/2010,135.48,131.81,1,133.43,8856456
30.63,Apple,1/5/2010,30.8,30.46,1,30.66,150476004
53.38,Biogen Idec,1/5/2010,55,53,1,54.72,4899370
132.25,Amazon,1/6/2010,134.73,131.65,1,134.6,7180977
30.14,Apple,1/6/2010,30.75,30.11,1,30.63,138039594
53.43,Biogen Idec,1/6/2010,53.7,52.8,1,53.1,5555723
130,Amazon,1/7/2010,132.32,128.8,1,132.01,11030124
30.08,Apple,1/7/2010,30.29,29.86,1,30.25,119282324
52.99,Biogen Idec,1/7/2010,53.5,52.46,1,53.23,3659834
133.52,Amazon,1/8/2010,133.68,129.03,1,130.56,9833829
30.28,Apple,1/8/2010,30.29,29.87,1,30.04,111969081
54.08,Biogen Idec,1/8/2010,54.33,52.81,1,53,2996438
130.31,Amazon,1/11/2010,132.8,129.21,1,132.62,8786668
30.02,Apple,1/11/2010,30.43,29.78,1,30.4,115557365
53.9,Biogen Idec,1/11/2010,54.35,53.53,1,54.1,1813289
127.35,Amazon,1/12/2010,129.82,126.55,1,128.99,9098190
29.67,Apple,1/12/2010,29.97,29.49,1,29.88,148614774
53.25,Biogen Idec,1/12/2010,54.03,52.94,1,53.66,3242899
129.11,Amazon,1/13/2010,129.71,125.75,1,127.9,10727856
30.09,Apple,1/13/2010,30.13,29.16,1,29.7,151472335
54.08,Biogen Idec,1/13/2010,54.33,52.96,1,53.33,2131312
127.35,Amazon,1/14/2010,130.38,126.4,1,129.14,9788435
29.92,Apple,1/14/2010,30.07,29.86,1,30.02,108288411
54.36,Biogen Idec,1/14/2010,54.36,53.59,1,53.81,1770910
127.14,Amazon,1/15/2010,129.65,127.06,1,129.18,15382763
29.42,Apple,1/15/2010,30.23,29.41,1,30.13,148584065
54.18,Biogen Idec,1/15/2010,54.85,53.78,1,54.06,2997202
127.61,Amazon,1/19/2010,128,124.33,1,126.2,8900116
30.72,Apple,1/19/2010,30.74,29.61,1,29.76,182501620
55.23,Biogen Idec,1/19/2010,55.31,54.29,1,54.29,2941572
125.78,Amazon,1/20/2010,129.2,125.08,1,127.13,9081533
30.25,Apple,1/20/2010,30.79,29.93,1,30.7,153037892
54.72,Biogen Idec,1/20/2010,55.37,54.01,1,55.04,2634095
126.62,Amazon,1/21/2010,128.15,125,1,127.26,9976146
29.72,Apple,1/21/2010,30.47,29.6,1,30.3,152038565
53.21,Biogen Idec,1/21/2010,54.53,52.67,1,54.53,4731164
121.43,Amazon,1/22/2010,127.67,120.76,1,125.6,11577818
28.25,Apple,1/22/2010,29.64,28.17,1,29.54,220441872
53.06,Biogen Idec,1/22/2010,53.71,52.6,1,53.19,3167791
120.31,Amazon,1/25/2010,122.28,118.12,1,122.1,12031053
29.01,Apple,1/25/2010,29.24,28.6,1,28.93,266424802
52.67,Biogen Idec,1/25/2010,53.5,52.17,1,53.22,2265231
119.48,Amazon,1/26/2010,122.98,119.06,1,120.56,9567607
29.42,Apple,1/26/2010,30.53,28.94,1,29.42,466777486
53,Biogen Idec,1/26/2010,53.11,52.16,1,52.52,2346683
122.75,Amazon,1/27/2010,123.33,118.8,1,121.03,14765273
29.7,Apple,1/27/2010,30.08,28.5,1,29.55,430642030
53.58,Biogen Idec,1/27/2010,53.62,52.37,1,52.47,2963748
126.03,Amazon,1/28/2010,127.2,122.8,1,124.43,27293062
28.47,Apple,1/28/2010,29.36,28.39,1,29.28,293375376
53.27,Biogen Idec,1/28/2010,54.51,52.6,1,54.28,3314622
125.41,Amazon,1/29/2010,131.85,124.14,1,129.77,29478976
27.44,Apple,1/29/2010,28.89,27.18,1,28.73,311487785
53.74,Biogen Idec,1/29/2010,53.91,53.01,1,53.31,3127828
118.87,Amazon,2/1/2010,124.86,113.82,1,123.18,37774317
27.82,Apple,2/1/2010,28,27.33,1,27.48,187468421
53.91,Biogen Idec,2/1/2010,53.93,52.98,1,53.41,2482306
118.12,Amazon,2/2/2010,118.98,114.4,1,118.79,23084986
27.98,Apple,2/2/2010,28.05,27.63,1,27.99,174585313
54.94,Biogen Idec,2/2/2010,54.95,53.24,1,53.76,2178446
119.1,Amazon,2/3/2010,119.61,116.56,1,117.12,12409012
28.46,Apple,2/3/2010,28.6,27.77,1,27.88,153831769
